latitud,longitud,namePlace
41.891109688270404,-87.65558661062614,Bari
41.89000907393167,-87.63066187122017,Firecakes
41.92944377200353,-87.64288262037964,Del Seoul
41.909498454898035,-87.67747907698616,Dove's Luncheonette
41.90730259878795,-87.91259363293648,Portillo's
41.86457,-87.81828442,Portillo's
41.89343668892004,-87.63143241405487,Portillo's
41.97319074,-87.65983951,Ba Le
41.9321,-87.698237,L'Patron Tacos
41.99668711666666,-87.7869039773941,Superdawg Drive-In
41.744208784911905,-87.60476390471273,Dat Donut
41.96667315740688,-87.67912082863938,Aroy Thai
41.968660325618956,-87.69435167312622,Nhu Lan Bakery
41.882248670138814,-87.63384748407303,Cafecito
41.884128546868126,-87.64986374906124,J. P. Graziano Grocery Co.
41.79431915283203,-87.61873626708984,Currency Exchange Café
41.87574423890672,-87.6264445685823,Cafecito
41.965273,-87.688842,Baker Miller
41.87006262671106,-87.64016985791197,Portillo's
41.92266145144037,-87.71680704517384,Wyler Road
41.8942220114465,-87.62183641937007,Do-Rite Donuts & Chicken
41.88540983525773,-87.63521432876587,UB Dogs
41.88939680837851,-87.63549562622177,The Doughnut Vault
41.89928562,-87.691806,Puerto Rico Food and Liquors
41.85807591512453,-87.66418400469074,Canton Regio
41.960858354283054,-87.6834536131855,Lou Malnati's Pizzeria
41.97586288954456,-87.69227677553302,Jimmy's Pizza Cafe
41.89117105019603,-87.6557985546736,D'Amato's Bakery
41.94002760030747,-87.6554083841875,BIG & little's
41.89604819397805,-87.68415927886961,Fatso's Last Stand
